feature,importance
customer_lifetime_value,0.00030933062880327266
last_campaign_response_days,0.0002614379084967533
service_request_count,7.775524002706646e-05
relationship_manager_interaction_count,7.212080234393347e-05
debit_card_transaction_count,5.29637142213657e-05
branch_visit_count,3.9441063781864295e-05
retention_offer_received,3.887762001353323e-05
campaign_response_count,3.718728870860666e-05
customer_feedback_sentiment,3.4370069867040164e-05
cash_withdrawal_count,3.1552851025495875e-05
card_category,2.648185711073836e-05
competitor_bank_offer_awareness,2.6481857110671746e-05
referral_count,2.535496957405403e-05
loyalty_program_member,2.028397565925211e-05
last_contacted_days,2.0283975659207697e-05
satisfaction_score,1.9720531890921045e-05
total_trans_count,1.9157088122612187e-05
escalation_count,1.915708812258998e-05
fixed_deposit_flag,1.8593644354325535e-05
total_revolving_bal,1.8030200585972266e-05
unresolved_complaint_count,1.5776425512714632e-05
balance_decline_percentage,1.5776425512692426e-05
digital_transaction_ratio,1.4086094207788059e-05
monthly_transaction_count,1.3522650439479201e-05
retention_offer_accepted,1.2959206671170343e-05
loan_default_risk_score,1.2395762902861485e-05
age,1.1832319134530422e-05
transaction_drop_indicator,1.1832319134530422e-05
mobile_app_login_count,1.0141987829648258e-05
net_banking_transaction_count,1.0141987829603848e-05
total_digital_logins,1.0141987829603848e-05
account_inactive_days,7.888212756324009e-06
app_rating_given,6.7613252197507025e-06
late_credit_card_payment_count,6.7613252197507025e-06
nps_score,6.7613252197284975e-06
call_center_interaction_count,6.197881451397436e-06
credit_card_spend,5.07099391477972e-06
total_loan_products,5.07099391477972e-06
website_login_count,2.817218841544289e-06
monthly_transaction_value,2.253775073235431e-06
complaint_severity,2.253775073235431e-06
discount_or_fee_waiver_received,2.253775073235431e-06
tenure_months,2.253775073235431e-06
total_trans_amt,2.253775073235431e-06
failed_login_count,1.6903313049265734e-06
marital_status,1.1268875366177156e-06
occupation_type,1.1268875366177156e-06
savings_account_flag,1.1268875366177156e-06
region,1.1268875366177156e-06
customer_segment,5.634437683088578e-07
debt_to_income_ratio,5.634437683088578e-07
emi_payment_delay_count,5.634437683088578e-07
total_complaints,5.634437683088578e-07
current_account_flag,0.0
avg_open_to_buy,0.0
gender,0.0
home_loan_flag,0.0
credit_card_flag,0.0
total_products_owned,0.0
credit_utilization_6m_avg,0.0
credit_utilization_3m_avg,0.0
upsell_offer_count,0.0
credit_utilization_ratio,0.0
auto_loan_flag,0.0
insurance_product_flag,0.0
credit_card_limit,0.0
prepayment_flag,0.0
primary_account_type,0.0
city_tier,0.0
onboarding_channel,0.0
emi_amount,0.0
mobile_banking_active_flag,0.0
investment_product_flag,-5.634437683088578e-07
relationship_manager_assigned,-5.634437683310622e-07
paperless_statement_enabled,-1.1268875366177156e-06
dependent_count,-1.1268875366177156e-06
upi_transaction_count,-1.6903313049043688e-06
cross_sell_offer_count,-1.6903313049265734e-06
relationship_type,-1.6903313049265734e-06
complaint_resolution_time,-1.6903313049709822e-06
loan_outstanding_amount,-2.253775073235431e-06
personal_loan_flag,-2.2537750732576357e-06
monthly_income_estimate,-3.3806626098753513e-06
digital_service_usage_score,-3.3806626098753513e-06
total_amt_chng_q4_q1,-3.944106378184209e-06
annual_income,-3.944106378206414e-06
credit_utilization_change,-4.507550146470862e-06
education_level,-4.507550146493066e-06
income_band,-4.507550146493066e-06
campaign_received_count,-5.070993914801924e-06
income_category,-5.634437683155191e-06
minimum_due_paid_flag,-6.7613252197507025e-06
engagement_gap,-7.32476898805956e-06
number_of_products,-7.32476898805956e-06
last_login_days,-7.324768988081764e-06
total_ct_chng_q4_q1,-7.888212756346213e-06
current_balance,-8.451656524655071e-06
digital_engagement_index,-9.015100293008339e-06
avg_monthly_balance,-1.2959206671148137e-05
avg_quarterly_balance,-1.2959206671148137e-05
demat_account_flag,-1.3522650439523609e-05
email_open_rate,-2.0283975659229903e-05
