Model,Accuracy,Precision,Recall,F1,F2,ROC_AUC,PR_AUC,Interpretation
Logistic Regression,0.9981492905613819,0.9961538461538462,0.9923371647509579,0.9942418426103646,0.9930981595092024,0.9999549244985351,0.9997756985490598,Excellent churn detection capability. Strong recall-focused performance. Very strong class separation ability. High overall prediction accuracy.
MLP,0.9975323874151758,0.9961389961389961,0.9885057471264368,0.9923076923076923,0.990023023791251,0.9999774622492675,0.999883997187304,Excellent churn detection capability. Strong recall-focused performance. Very strong class separation ability. High overall prediction accuracy.
SVM,0.9975323874151758,1.0,0.9846743295019157,0.9922779922779923,0.9877017678708686,0.99990984899707,0.9995701830031263,Excellent churn detection capability. Strong recall-focused performance. Very strong class separation ability. High overall prediction accuracy.
Hist Gradient Boosting,0.9969154842689698,0.9961240310077519,0.9846743295019157,0.9903660886319846,0.9869431643625192,0.9999408384043272,0.9997000959602206,Excellent churn detection capability. Strong recall-focused performance. Very strong class separation ability. High overall prediction accuracy.
Extra Trees,0.9962985811227637,0.9961089494163424,0.9808429118773946,0.9884169884169884,0.9838585703305149,0.9999070317782285,0.9995114673489244,Excellent churn detection capability. Strong recall-focused performance. Very strong class separation ability. High overall prediction accuracy.
Random Forest,0.9956816779765577,0.9922480620155039,0.9808429118773946,0.9865125240847784,0.9831029185867896,0.9995591052512959,0.9982370046382956,Excellent churn detection capability. Strong recall-focused performance. Very strong class separation ability. High overall prediction accuracy.
Gradient Boosting,0.9956816779765577,1.0,0.9731800766283525,0.9864077669902913,0.9784283513097073,0.9999323867478026,0.9996601746451199,Excellent churn detection capability. Strong recall-focused performance. Very strong class separation ability. High overall prediction accuracy.
KNN,0.9938309685379395,0.9960474308300395,0.9655172413793104,0.980544747081712,0.9714726291441789,0.9921427766508902,0.986046269415416,Excellent churn detection capability. Strong recall-focused performance. Very strong class separation ability. High overall prediction accuracy.
Bagging,0.9913633559531153,0.984313725490196,0.9616858237547893,0.9728682170542635,0.9661277906081601,0.9978208812260536,0.9930126883768291,Excellent churn detection capability. Strong recall-focused performance. Very strong class separation ability. High overall prediction accuracy.
Decision Tree,0.9728562615669339,0.9221789883268483,0.9080459770114943,0.915057915057915,0.9108378170637971,0.9466700473292766,0.8521865959436694,Excellent churn detection capability. Strong recall-focused performance. Very strong class separation ability. High overall prediction accuracy.
AdaBoost,0.8679827267119062,0.5494736842105263,1.0,0.7092391304347826,0.859117840684661,0.9999267523101195,0.9996347906634949,Excellent churn detection capability. Strong recall-focused performance. Very strong class separation ability. High overall prediction accuracy.
GaussianNB,0.9580505860579889,1.0,0.7394636015325671,0.8502202643171806,0.7801131770412287,0.9997915258057246,0.9990177491995395,Good churn detection performance. Strong recall-focused performance. Very strong class separation ability. High overall prediction accuracy.
